model,day,event_id,market_id,model_prob_yes,yes_ask,no_ask,outcome,platform,pnl,cost
Gemini 3.1 Pro (Variant B),1,E0001,M00001,0.85,98.0,5.0,1.0,Kalshi,-0.005000000000000001,0.005000000000000001
Gemini 3.1 Pro (Variant B),1,E0001,M00002,0.15,5.0,98.0,0.0,Kalshi,-0.005,0.005
Gemini 3.1 Pro (Variant B),1,E0002,M00003,0.88,98.0,3.0,1.0,Kalshi,-0.0026999999999999997,0.0026999999999999997
Gemini 3.1 Pro (Variant B),1,E0002,M00004,0.12,3.0,98.0,0.0,Kalshi,-0.0026999999999999997,0.0026999999999999997
Gemini 3.1 Pro (Variant B),1,E0003,M00005,0.75,90.0,15.0,1.0,Kalshi,-0.015,0.015
Gemini 3.1 Pro (Variant B),1,E0003,M00006,0.25,15.0,90.0,0.0,Kalshi,-0.015,0.015
Gemini 3.1 Pro (Variant B),1,E0004,M00007,0.55,54.0,51.0,1.0,Kalshi,0.004600000000000003,0.0054000000000000055
Gemini 3.1 Pro (Variant B),1,E0004,M00008,0.4499999999999999,51.0,54.0,0.0,Kalshi,0.004600000000000003,0.0054000000000000055
Gemini 3.1 Pro (Variant B),1,E0005,M00009,0.5,54.0,48.0,1.0,Kalshi,-0.009600000000000008,0.009600000000000008
Gemini 3.1 Pro (Variant B),1,E0005,M00010,0.5,48.0,54.0,0.0,Kalshi,-0.009600000000000008,0.009600000000000008
Gemini 3.1 Pro (Variant B),1,E0006,M00011,0.9,98.0,3.0,1.0,Kalshi,-0.0020999999999999994,0.0020999999999999994
Gemini 3.1 Pro (Variant B),1,E0006,M00012,0.0999999999999999,3.0,98.0,0.0,Kalshi,-0.002099999999999997,0.002099999999999997
Gemini 3.1 Pro (Variant B),1,E0007,M00013,0.95,97.0,10.0,1.0,Polymarket,,
Gemini 3.1 Pro (Variant B),1,E0007,M00014,0.01,0.5,99.9,0.0,Polymarket,-2.5e-05,2.5e-05
Gemini 3.1 Pro (Variant B),1,E0007,M00015,0.01,0.86,99.1,0.0,Polymarket,-1.2040000000000002e-05,1.2040000000000002e-05
Gemini 3.1 Pro (Variant B),1,E0008,M00016,0.5,51.0,49.0,0.0,Polymarket,0.005100000000000005,0.004900000000000004
