model,event_id,market_id,model_prob_yes,yes_ask,no_ask,outcome,platform
Claude Sonnet 4.6 (Variant B),E2683,M13238,0.67,81.0,22.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1114,M01996,0.03,3.0,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1142,M02890,0.19,28.000000000000004,73.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1109,M05538,0.71,83.0,18.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1069,M01930,0.02,2.4,98.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1069,M01931,0.98,98.0,2.4,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1072,M01936,0.02,3.1,99.7,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1072,M01937,0.98,99.7,3.1,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1073,M01938,0.97,99.3,1.7999999999999998,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0483,M00912,0.12,14.000000000000002,88.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0483,M00913,0.88,88.0,14.000000000000002,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1365,M09939,0.65,73.0,54.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1365,M02436,0.91,97.0,4.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1566,M14442,0.98,99.4,1.1,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1530,M02925,0.11,15.0,85.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1516,M02705,0.02,1.0,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1119,M02003,0.28,19.0,89.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1119,M02004,0.72,89.0,19.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1120,M02005,0.11,12.0,90.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1120,M02006,0.89,90.0,12.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0277,M02903,0.12,19.0,82.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0337,M06016,0.015,1.0,99.6,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1259,M02248,0.02,1.7999999999999998,99.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1259,M02249,0.98,99.0,1.7999999999999998,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1104,M01980,0.03,3.1,98.2,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1104,M01981,0.97,98.2,3.1,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5049,M09923,0.45,48.0,53.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5049,M09924,0.55,53.0,48.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2725,M05078,0.04,2.0,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2725,M05079,0.96,99.0,2.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2848,M05319,0.62,78.0,23.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2848,M05320,0.38,23.0,78.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0417,M00790,0.97,99.0,2.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1097,M01970,0.82,84.0,19.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1124,M02012,0.02,2.0,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1124,M02013,0.98,99.0,2.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1113,M01994,0.01,0.8999999999999999,99.8,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1113,M01995,0.99,99.8,0.8999999999999999,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5059,M09945,0.8,86.0,18.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5059,M09946,0.1999999999999999,18.0,86.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5133,M10093,0.8,79.0,22.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5133,M10094,0.1999999999999999,22.0,79.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5050,M09925,0.3,48.0,53.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0988,M01776,0.02,2.7,99.5,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0988,M01777,0.98,99.5,2.7,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0949,M01706,0.001,0.05,99.95,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2690,M05007,0.4,53.0,48.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2690,M05008,0.6,48.0,53.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2660,M04949,0.41,74.0,27.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2660,M04950,0.5900000000000001,27.0,74.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1140,M02038,0.93,94.0,7.000000000000001,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1140,M02039,0.0699999999999999,7.000000000000001,94.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1141,M02040,0.03,3.0,98.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1141,M02041,0.97,98.0,3.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1536,M02729,0.2,20.0,82.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1536,M02730,0.8,82.0,20.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0987,M05633,0.06,4.31,96.81,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2696,M05024,0.02,50.0,77.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2692,M05011,0.92,96.0,5.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2692,M05012,0.0799999999999999,5.0,96.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1101,M10089,0.48,51.0,50.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2697,M05026,0.88,53.0,67.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5051,M09926,0.18,37.0,66.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5051,M09927,0.8200000000000001,66.0,37.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5038,M09902,0.72,83.0,20.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5038,M09903,0.28,20.0,83.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1068,M01928,0.63,73.0,27.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1068,M01929,0.37,27.0,73.0,1.0,Polymarket
